7/13/1996 2:51,0000-00-00 00:00:00,201,6,----,----,------,205,not a halo cme,1,TRUE,FALSE,Only 1 points, Only C2,
7/14/1996 15:17,7/14/1996 14:09,267,50,660,664,-0.4,264,not a halo cme,5,TRUE,TRUE,,,
7/15/1996 10:46,7/15/1996 9:47,273,43,632,506,26.2,274,not a halo cme,3,TRUE,TRUE,Only 3 points,,
7/15/1996 22:26,7/15/1996 19:25,241,31,240,151,19,245,not a halo cme,3,TRUE,TRUE,Only 3 points,,
7/16/1996 2:19,7/16/1996 1:30,278,47,602,623,-1.9,269,not a halo cme,7,TRUE,TRUE,,,
7/16/1996 8:27,7/16/1996 5:59,228,17,230,244,-1.5,235,not a halo cme,6,TRUE,TRUE,,,
7/17/1996 5:20,7/17/1996 3:55,280,34,304,237,15,281,not a halo cme,5,TRUE,TRUE,,,
7/17/1996 12:10,7/17/1996 10:27,279,28,320,421,-21.5,273,not a halo cme,3,TRUE,TRUE,Only 3 points,,
7/17/1996 16:01,7/17/1996 12:38,94,47,310,290,1.7,94,not a halo cme,3,TRUE,TRUE,Only 3 points,,
7/20/1996 9:28,7/20/1996 9:29,31,175,246,56,9.4,34,partial halo cme,9,TRUE,TRUE,Partial Halo,,
7/28/1996 4:10,7/28/1996 13:43,267,56,126,0,6.1,265,not a halo cme,22,TRUE,TRUE,,,
7/28/1996 19:33,7/28/1996 14:55,123,28,145,91,8.9,122,not a halo cme,6,TRUE,FALSE,Only C2,,
7/29/1996 17:06,7/29/1996 12:00,268,53,190,----,------,266,not a halo cme,2,TRUE,FALSE,Only 2 points, Only C2,
8/1/1996 12:36,8/1/1996 11:26,274,35,499,451,7.4,270,not a halo cme,4,TRUE,TRUE,,,
8/1/1996 18:12,8/1/1996 13:56,210,82,118,94,4,229,not a halo cme,6,TRUE,FALSE,Only C2,,
8/3/1996 19:45,8/3/1996 12:23,231,26,71,59,0.5,240,not a halo cme,8,TRUE,TRUE,,,
8/7/1996 13:15,8/7/1996 11:07,242,27,----,----,------,249,not a halo cme,2,TRUE,FALSE,Only 2 points, Only C2, Unable to measure
8/10/1996 9:25,8/10/1996 5:18,68,68,148,133,1,65,not a halo cme,9,TRUE,TRUE,,,
8/10/1996 16:55,8/10/1996 16:07,290,42,413,244,17.5,285,not a halo cme,5,TRUE,TRUE,,,
8/13/1996 7:15,8/13/1996 4:56,259,92,298,332,-2.2,263,not a halo cme,4,TRUE,TRUE,,,
8/14/1996 7:26,8/14/1996 4:06,204,169,244,233,1.4,231,partial halo cme,3,TRUE,TRUE,Only 3 points, Partial Halo,
8/15/1996 21:00,8/15/1996 14:50,123,69,156,122,2.2,121,not a halo cme,6,TRUE,TRUE,,,
8/16/1996 14:14,8/16/1996 12:25,Halo,360,364,336,2,158,halo cme,4,TRUE,TRUE,,,
8/19/1996 11:18,8/19/1996 8:37,127,82,406,352,4.7,125,not a halo cme,8,TRUE,TRUE,,,
8/20/1996 2:00,8/19/1996 22:47,121,23,256,155,4.8,118,not a halo cme,7,TRUE,TRUE,,,
8/20/1996 11:10,8/20/1996 6:50,275,42,172,196,-1.2,284,not a halo cme,6,TRUE,TRUE,,,
9/2/1996 9:45,9/2/1996 8:24,66,13,571,666,-48.1,73,not a halo cme,3,TRUE,TRUE,Only 3 points,,
9/3/1996 6:25,9/2/1996 17:06,246,52,56,110,-15.5,247,not a halo cme,3,TRUE,FALSE,Only 3 points, Only C2,
9/3/1996 23:10,9/3/1996 20:49,86,31,260,----,------,86,not a halo cme,2,TRUE,FALSE,Only 2 points, Only C2,
9/4/1996 23:05,9/4/1996 19:48,243,13,255,278,-3.8,248,not a halo cme,3,TRUE,TRUE,Only 3 points,,
9/9/1996 1:50,9/8/1996 19:55,246,63,146,167,-2,233,not a halo cme,5,TRUE,TRUE,,,
